home_team,away_team,predicted_winner,home_win_prob,away_win_prob,confidence
Newcastle Knights,North Queensland Cowboys,Newcastle Knights,60.7,39.3,60.7
Canterbury Bulldogs,St George Illawarra Dragons,Canterbury Bulldogs,66.4,33.6,66.4
Melbourne Storm,Parramatta Eels,Melbourne Storm,64.0,36.0,64.0
New Zealand Warriors,Sydney Roosters,New Zealand Warriors,66.9,33.1,66.9
Brisbane Broncos,Penrith Panthers,Penrith Panthers,49.7,50.3,50.3
Cronulla Sharks,Gold Coast Titans,Cronulla Sharks,54.4,45.6,54.4
Manly Sea Eagles,Canberra Raiders,Manly Sea Eagles,55.1,44.9,55.1
Dolphins,South Sydney Rabbitohs,South Sydney Rabbitohs,49.5,50.5,50.5
