home_team,away_team,predicted_winner,home_win_prob,away_win_prob,confidence
Cronulla Sharks,New Zealand Warriors,New Zealand Warriors,13.2,86.8,86.8
Parramatta Eels,Wests Tigers,Parramatta Eels,82.7,17.3,82.7
St George Illawarra Dragons,North Queensland Cowboys,North Queensland Cowboys,22.4,77.6,77.6
Penrith Panthers,Melbourne Storm,Melbourne Storm,24.0,76.0,76.0
Dolphins,Manly Sea Eagles,Dolphins,72.1,27.9,72.1
South Sydney Rabbitohs,Canterbury Bulldogs,South Sydney Rabbitohs,65.0,35.0,65.0
Newcastle Knights,Canberra Raiders,Newcastle Knights,60.8,39.2,60.8
Gold Coast Titans,Brisbane Broncos,Brisbane Broncos,47.7,52.3,52.3
